Position,Name,Club,Cat,Time
68,Alan O'Callaghan,Carnethy HRC,M,00:34:18
69,Damien Theaker,Westerlands CCC,M60,00:34:21
70,Adam Anderson,Hartfell HRC,M60,00:34:28
71,Ava Richardson,Gala Harriers,F20,00:34:49
72,Steven Worsley,Highland HR,M60,00:35:01
73,Eva Peter,Victoria Park City,F,00:35:05
74,Kai Wheeler,Calderglen Harriers,M,00:35:07
75,Katie Meek,Queen's Park AC,F20,00:35:16
76,Alan Smith,Deeside Runners,M60,00:35:20
77,Luis Molero,Gala Harriers,F,00:35:41
78,Twig Barber,Falkland Trail Runners,F,00:35:43
79,Neil Gilmore,Carnethy HRC,M60,00:35:51
80,Marc Roper,Westerlands CCC,M60,00:36:01
81,Anwen Darlington,Dundee RR,F,00:36:07
82,Nick Carter,Highland HR,M50,00:36:54
83,Madeleine Watson,Queen's Park AC,F,00:37:05
84,Harry Reynolds,Unattached,M40,00:37:06
85,Innes Gibson,Edinburgh RC,M60,00:37:32
86,Craig Malcolmson,Hartfell HRC,M60,00:37:37
87,Chris Furse,Westerlands CCC,M50,00:37:45
88,Mike Mapstone,Unattached,M,00:37:52
89,Ian Thurlbeck,Westerlands CCC,M60,00:37:59
90,Mary Lye,Carnethy HRC,F50,00:38:44
91,David Mason,Linlithgow AC,M60,00:38:45
92,Paul Dudchenko,Linlithgow AC,M60,00:38:47
93,Judith Turner,PH Racing,F50,00:39:55
94,Roderick Pugh,Kilmarnock,M70,00:40:11
95,Neil McLure,PH Racing,M50,00:40:22
96,Robin Watson,Ochil HR,M60,00:41:15
97,Louise Burt,Fife AC,F60,00:41:42
98,Mike Dales,Perth RR,M60,00:42:00
99,Michaela Kennedy,Lochaber AC,F,00:42:01
100,Joan Wilson,Lomond HR,F60,00:42:32
101,Martin Frost,North Shields Poly,M60,00:42:40
102,Wiktoria Kret,Strathearn Harriers,F20,00:43:10
103,Fiona Manson,Perth RR,F50,00:46:10
104,Colin Wilson,Lomond HR,M60,00:48:06
105,Ash MacDonald,Lochaber AC,F40,00:56:35
106,William MacDonald,Lochaber AC,M60,00:59:56
