RunnerPosition,Name,Club,FinishTime,RunnerCategory
1,Graeme Bartlett,Forres Harriers,2:41:48,M
2,Andrew Davies,Borrowdale Fell Runners,2:43:13,M
3,Steve Birkinshaw,Northumberland Fell Runners,2:49:15,M
4,John Coyle,Carnethy HRC,2:53:50,M
5,John Wilkinson,Shettleston Harriers,2:54:32,M
6,Malcolm Patterson,Shettleston Harriers,2:54:45,M
7,Andy Lewsley,Keswick Athletic Club,2:54:56,M
8,Jim Davies,Carnethy HRC,2:55:30,M
9,Euan MacKay,Ocril Hill Runners,2:55:38,M
10,Craig Love,Dundee Hawkhill Harriers,2:59:18,M
11,Ronnie Gallagher,Westerlands Cross Country Club,2:59:25,M
12,Lee Thomson,Clayton Le-moors Harriers,2:59:29,M
13,Martin Laing,Fife Athletic Club,3:00:04,M
14,Colin Eades,Livingston and District Athletic Club,3:00:50,M
15,Daniel Marston,Clydeside Orienteers,3:02:11,M
16,Jack Holt,Clayton Le-moors Harriers,3:02:22,M
17,Anesti Daventhill,Shettleston Harriers,3:03:12,M
18,David Hirst,Deeside Runners,3:03:33,M
19,Neil Raitt,Dundee Hawkhill Harriers,3:04:04,M
20,Robbie Cant,Lochaber,3:04:57,M
21,David Duncan,Ochil Hill Runners,3:05:15,M
22,Dave Cummins,Shettleston Harriers,3:05:42,M
23,Des Crowe,Seettleston Harriers,3:05:49,M
24,Stephen Rivers,Cosmic Hill Bashers,3:05:53,M
25,John Blairfish,Carnethy HRC,3:06:28,M
26,Angela Mudge,Carnethy HRC,3:06:47,F
27,Nigel Wright,Jesus Orienteering Club,3:07:32,M
28,Yvette Hague,Pudsey and Bramley Athletic Club,3:08:00,F
29,Brian Waldie,Carnethy HRC,3:08:44,M
30,John Donnely,Shettleston Harriers,3:09:21,M
31,Mark Johnston,Carnethy HRC,3:10:10,M
32,Stewart Whitlie,Standard Life Athletic Club,3:10:50,M
34,Gavin Stewart,Carnethy HRC,3:11:09,M
36,Timothy Nash,Cosmic Hill Bashers,3:11:47,M
37,Garry Owens,Northumberland Fell Runners,3:11:49,M
38,Nicola Davies,Borrowdale Fell Runners,3:12:53,F
39,John Stevenson,Ochil Hill Runners,3:14:08,M
40,Ross McLnroy,Clydesdale Harriers,3:14:19,M
41,John Emeleus,Clydeside Orienteers,3:16:03,M
42,Duggie Gillespie,Gallows,3:16:58,M
43,Andy Pearle,Cosmic Hill Bashers,3:17:27,M
44,Ben Stansfield,Forth Valley Orienteer,3:17:37,M
45,Joe Holden,Fife Athletic Club,3:19:11,M
46,Guy Woolnough,Kendal Athletic Club,3:19:52,M
47,Martin Huline,Kwik-fit Corstorphine,3:20:23,M
48,William Hykura,Carnethy HRC,3:20:33,M
49,Johnny Clark,Ochil Hill Runners,3:20:59,M
50,Murdo F Macleod,Westerlands,3:21:01,M
51,Paul Caban,Ferr,3:21:02,M
52,Paul McClintock,Gallows,3:21:15,M
53,John Gallacher,Ochil Hill Runners,3:21:33,M
54,Willie Gibson,Carnethy HRC,3:21:34,M
55,Martin Monckton,Falkirk Victoria,3:21:39,M
56,Dick Amour,Highland Hill Runners,3:21:42,M
57,Richard Collins,Highland Hill Runners,3:22:18,M
58,Charlie Love,Durdee Hawkhill,3:22:35,M
59,M Mitchell,Fife Athletic Club,3:23:15,M
60,Neil Harston,Edinburgh University Hare & Hounds,3:26:12,M
61,John Reeve,Sboc,3:26:40,M
62,Peter Buchanan,Ochil Hill Runners,3:26:50,M
63,David Godfree,Livingston and District Athletic Club,3:27:27,M
64,Geoff Siiapson,Hunters Bog Trotters,3:28:10,M
65,Martin Flynn,Carnethy HRC,3:29:36,M
66,Kate Jenkins,Carnethy HRC,3:29:36,F
