RunnerPosition,Name,Club,FinishTime,RunnerCategory
1,Jethro Lennox,Shettleston,31:11,
2,Euan Jardine,Gala Harriers,31:57,
3,Stewart Whitlie,Carnethy,32:42,M
4,Adrian Davis,Carnethy,33:20,M
5,Adam Ward,Carnethy,33:32,M
6,Adam Anderson,Carnethy,33:47,
7,Alan Smith,Deeside,34:33,M
8,Des Crowe,Shettleston,34:39,M
9,John Stevenson,Ochil,34:48,M
10,Mark James,Carnethy,34:51,M
11,Sandy Bennet,EZCarnegie,35:07,M
12,Robert Philips,Perth,35:50,
13,Roger Irvine,Annan,36:05,M
14,Jill Mykura,Carnethy,36:28,F
15,David Scott,Ochil,36:35,M
16,Geraint Florida-James,Carnethy,36:39,
17,Mike Diver,Clydesdale,36:42,
